UID,Axis1,Axis2,Gvag_rel,Avag_rel,Combined,LogCombined
AYAC09_W1D7,3.34214149,0.026313635,0.00000198,0.000000517,0.000002497,-5.602581458
AYAC03_W8D6,3.66078488,-2.210550268,0.0000477,1.78E-06,0.00004948,-4.305570309
AYAC09_W9D7,1.008403486,1.114164465,0.000203768,7.98E-06,0.000211748,-3.674180683
AYAC02_W9D3,-0.341064718,2.348721463,0.0000398,0.000197581,0.000237381,-3.624554045
EM11_W9D7,6.631433902,-3.9375295,0.000543445,0.00000147,0.000544915,-3.263671237
AYAC02_W1D7,-0.690039689,0.377268549,0.000113331,0.000520191,0.000633522,-3.198238299
AYAC10_W1D7,1.274505245,1.595602392,0.000508593,0.000153367,0.00066196,-3.179168253
UAB093_W1D7,4.662328367,-2.539439494,0.000712374,0.000000146,0.00071252,-3.147202941
EM11_W7D7,3.427305268,-3.579191078,0.000722025,0.0000033,0.000725325,-3.139467353
UAB093_W7D7,4.128090059,-0.658704365,0.000733085,1.05E-06,0.000734135,-3.13422407
UAB093_W4D2,2.779832019,-0.315683369,0.000763251,0.00000257,0.000765821,-3.115872729
AYAC10_W9D5,1.283925489,3.560652022,0.000786736,0.000000248,0.000786984,-3.104034097
UAB093_W5D7,4.050951561,-1.528844239,0.000796666,0.000000184,0.00079685,-3.098623423
UAB122_W6D5,5.470679585,-2.59577694,0.000827425,0.000000104,0.000827529,-3.082216778
UAB122_W1D7,5.820080286,-2.166410436,0.000858059,0.00000227,0.000860329,-3.065335438
UAB093_W9D6,6.028518724,-1.970822275,0.000878241,0.00000109,0.000879331,-3.055847616
EM11_W1D7,4.620345467,-2.234902065,0.000975509,0.000000294,0.000975803,-3.010637851
EM09_W4D4,-1.152866556,4.768663468,0.001137351,0.000000201,0.001137552,-2.944028742
EM09_W9D6,1.030323129,2.841750624,0.001125482,0.0000309,0.001156382,-2.936898677
AYAC02_W5D6,-1.518846171,0.390531847,0.001219785,3.93E-05,0.001259085,-2.89994495
UAB010_W5D6,1.961984736,-2.148054287,0.001547893,0.000297024,0.001844917,-2.734023167
UAB119_W9D7,1.582488387,0.672296004,0.002071872,0.00000109,0.002072962,-2.683408659
EM09_W6D7,0.826951741,2.386734997,0.002241924,0.000000311,0.002242235,-2.649318873
EM10_W8D7,-2.560818195,2.843635583,0.001763427,0.000666433,0.00242986,-2.614418748
UAB038_W2D2,-2.239675593,0.189228806,0.002307474,0.000547438,0.002854912,-2.544407274
UAB119_W7D7,0.701767806,1.385331295,0.003906512,0.0000337,0.003940212,-2.404480411
UAB002_W9D7,-0.732393573,0.96937899,0.00408369,0.0000271,0.00411079,-2.386074709
AYAC09_W5D7,1.889002236,0.846768709,0.003839952,0.00050666,0.004346612,-2.361849125
UAB002_W7D7,-0.145357552,0.681363397,0.005856465,0.000182172,0.006038637,-2.219061076
UAB002_W5D7,-6.009047453,-2.584526392,0.004693777,0.001886269,0.006580046,-2.18177107
EM09_W2D3,-1.059175468,4.746426583,0.006583233,0.000499515,0.007082748,-2.14979821
UAB002_W1D4,-2.803931918,0.823802755,0.007740737,0.000016,0.007756737,-2.110320933
UAB010_W3D1,-1.969771825,-2.801690337,0.007877618,0.00019727,0.008074888,-2.092863493
AYAC02_W3D1,0.561763713,0.99492066,0.010841346,0.000705285,0.011546631,-1.937544713
AYAC10_W2D7,0.049292435,0.685969636,0.017808535,0.000999691,0.018808226,-1.725652165
AYAC03_W9D7,2.829886425,-0.89880274,0.018712716,0.001730583,0.020443299,-1.689449019
UAB028_W1D7,-1.645495319,1.725468712,0.022762397,0,0.022762397,-1.642782006
UAB119_W5D7,0.51952082,0.603744748,0.136831109,0.0000515,0.136882609,-0.863651726
UAB122_W3D4,4.286431574,-2.264975999,0.148109225,0.00351732,0.151626545,-0.819224761
UAB028_W9D7,-3.26817593,1.642055777,0.292075251,0.0000889,0.292164151,-0.534373074
UAB028_W5D5,-3.100984805,2.570052677,0.327891557,0.019146931,0.347038488,-0.459622357
UAB035_W3D6,-6.189793861,-1.323025571,0.385477659,0.047107251,0.43258491,-0.363928634
UAB038_W3D7,-5.615182227,0.725415858,0.448620006,0.032376792,0.480996798,-0.317857815
UAB028_W7D7,-2.313789837,1.045161947,0.532589441,0.000569479,0.53315892,-0.27314332
UAB035_W5D7,-6.952729737,-0.618242251,0.55718052,0.008985552,0.566166072,-0.24705616
UAB028_W3D7,-3.329211978,3.614027,0.638692064,0.0000444,0.638736464,-0.19467829
UAB035_W7D4,-6.659493868,0.271846759,0.698868285,0.001044321,0.699912606,-0.154956184
UAB035_W9D7,-14.13089256,-10.07012775,0.697099176,0.080698973,0.777798149,-0.109133095