Component,Comp1,Comp2,Type
Atopobium_vaginae,-0.774846129,-0.02264918,TaxaNeg
singleton_274575,-0.701360653,-0.44789044,NegGene
17022,-0.665297227,-0.539538017,NegGene
58986,-0.656941785,0.130600589,NegGene
singleton_36667,-0.642009411,-0.379765955,NegGene
singleton_263000,-0.613169712,-0.489583882,NegGene
jaccard_50166,-0.607329786,-0.56925655,NegGene
jaccard_22001,-0.604897524,-0.616010456,NegGene
singleton_73142,-0.604386281,-0.009434986,NegGene
jaccard_29877,-0.602326948,-0.307946166,NegGene
jaccard_233566,-0.590763599,-0.506567558,NegGene
singleton_11691,-0.589888102,-0.574528439,NegGene
jaccard_136183,-0.583732164,-0.248900276,NegGene
jaccard_278923,-0.572383956,-0.494172523,NegGene
10321,-0.566424908,-0.627889378,NegGene
singleton_328955,-0.546730738,-0.526672671,NegGene
Gardnerella_vaginalis,-0.540620803,0.024320465,TaxaNeg
jaccard_233760,-0.540156628,-0.298720975,NegGene
jaccard_109670,-0.520038462,-0.59902504,NegGene
jaccard_15093,-0.514912286,-0.311971069,NegGene
jaccard_24418,-0.51388717,-0.174618373,NegGene
jaccard_457015,0.392514259,-0.257704425,PosGene
singleton_91546,0.435859078,-0.151169601,PosGene
jaccard_80563,0.484623762,-0.182630835,PosGene
jaccard_26242,0.54962157,-0.371192871,PosGene
singleton_71202,0.552509655,-0.141251886,PosGene
jaccard_127310,0.587586866,-0.311355873,PosGene
singleton_2895,0.600128949,-0.479051909,PosGene
jaccard_8384,0.613806826,-0.244686494,PosGene
jaccard_150830,0.621749847,-0.311462125,PosGene
jaccard_290248,0.622154853,-0.091742292,PosGene
jaccard_194856,0.635694964,-0.53631385,PosGene
jaccard_232997,0.642900555,-0.48622045,PosGene
jaccard_437738,0.648419781,-0.20529545,PosGene
jaccard_403239,0.654459297,-0.453934348,PosGene
jaccard_15436,0.670245419,-0.50178441,PosGene
jaccard_324266,0.6721871,-0.156707481,PosGene
jaccard_462629,0.673981431,-0.497957868,PosGene
6003,0.674857026,-0.153953657,PosGene
singleton_28550,0.681184126,-0.444029308,PosGene
jaccard_49002,0.705492909,-0.224274221,PosGene
jaccard_15047,0.716900084,-0.478358894,PosGene
19056,0.753126837,-0.39955611,PosGene